1	0	tmol/chemical/__init__.py
1	1	tmol/chemical/_restypes.py
77	10	tmol/database/__init__.py
226	104	tmol/database/_patched_chemdb.py
60	5	tmol/database/chemical/__init__.py
103	53	tmol/database/default/chemical/chemical.yaml
2962	0	tmol/database/default/chemical/d_amino_acids.yaml
6	8	tmol/database/default/scoring/cartbonded.yaml
1401	0	tmol/database/default/scoring/cartbonded_d_amino_acids.yaml
749	0	tmol/database/default/scoring/elec_d_amino_acids.yaml
73	26	tmol/database/default/scoring/genbonded.yaml
-	-	tmol/database/default/scoring/omega_bbdep.zip
-	-	tmol/database/default/scoring/rama.zip
7	0	tmol/database/default/scoring/ref_d_amino_acids.yaml
15	3	tmol/database/scoring/__init__.py
11	2	tmol/database/scoring/_cartbonded.py
33	0	tmol/database/scoring/_content_hash.py
10	1	tmol/database/scoring/_elec.py
14	5	tmol/database/scoring/_genbonded.py
207	0	tmol/database/scoring/_mirrored_dunbrack.py
10	2	tmol/database/scoring/_omega_bbdep.py
10	2	tmol/database/scoring/_rama.py
8	1	tmol/database/scoring/_ref.py
8	0	tmol/io/__init__.py
8	0	tmol/io/_canonical_form.py
171	63	tmol/io/_canonical_ordering.py
458	0	tmol/io/_cif.py
40	2	tmol/io/_pose_stack_construction.py
25	0	tmol/io/_pose_stack_deconstruction.py
160	11	tmol/io/_pose_stack_from_biotite.py
1	1	tmol/io/_pose_stack_from_sequence.py
1	0	tmol/io/details/__init__.py
61	5	tmol/io/details/_build_missing_leaf_atoms.py
9	2	tmol/io/details/_disulfide_search.py
8	2	tmol/io/details/_his_taut_resolution.py
18	12	tmol/io/details/_left_justify_canonical_form.py
210	16	tmol/io/details/_select_from_canonical.py
1	0	tmol/kinematics/__init__.py
41	4	tmol/kinematics/_check_fold_forest.py
130	30	tmol/kinematics/_fold_forest.py
85	0	tmol/kinematics/_scan_ordering.py
12	2	tmol/kinematics/compiled/common.hh
133	51	tmol/kinematics/compiled/compiled.impl.hh
15	6	tmol/kinematics/compiled/compiled_ops.cpp
3	0	tmol/kinematics/compiled/params.hh
8	0	tmol/ligand/__init__.py
9	6	tmol/ligand/_atom_typing.py
179	3	tmol/ligand/_chi_topology.py
10	0	tmol/ligand/_conformer_generation.py
367	0	tmol/ligand/_conjugation_patches.py
320	61	tmol/ligand/_detect.py
7	7	tmol/ligand/_openbabel_compat.py
48	1	tmol/ligand/_params_file.py
39	10	tmol/ligand/_params_io.py
899	0	tmol/ligand/_polymer_builder.py
1815	0	tmol/ligand/_polymer_profile.py
700	42	tmol/ligand/_preparation.py
3	0	tmol/ligand/_rdkit_mol.py
124	1	tmol/ligand/_registry.py
29	34	tmol/ligand/_residue_builder.py
755	0	tmol/ligand/_rotamer_reference.py
1	1	tmol/ligand/_structure_to_smiles.py
869	0	tmol/ligand/_terminus_patches.py
4	0	tmol/ops/_score_utils.py
49	28	tmol/pack/_impose_rotamers.py
69	7	tmol/pack/_pack_rotamers.py
51	0	tmol/pack/_packer_task.py
8	6	tmol/pack/rotamer/__init__.py
